GAME_ID,HOME_TEAM_ID,HOME_REST_DAYS,HOME_IS_B2B,HOME_GAMES_IN_LAST_7,HOME_WIN_STREAK,HOME_GAME_NUMBER,HOME_CONSECUTIVE_AWAY,HOME_HOME_WIN_PCT,HOME_AWAY_WIN_PCT,HOME_OVERALL_WIN_PCT,AWAY_TEAM_ID,AWAY_REST_DAYS,AWAY_IS_B2B,AWAY_GAMES_IN_LAST_7,AWAY_WIN_STREAK,AWAY_GAME_NUMBER,AWAY_CONSECUTIVE_AWAY,AWAY_HOME_WIN_PCT,AWAY_AWAY_WIN_PCT,AWAY_OVERALL_WIN_PCT,REST_ADVANTAGE,DIFF_WIN_STREAK,DIFF_GAMES_IN_LAST_7,DIFF_GAME_NUMBER,DIFF_OVERALL_WIN_PCT,HOME_ADV,SEASON,POINT_DIFF
21500001,1610612737,7,0,0,0,1,0,0.5,0.5,0.5,1610612765,7,0,0,0,1,1,0.5,0.5,0.5,0,0,0,0,0.0,1.0,2015-16,-12
21500026,1610612737,1,1,2,1,3,0,0.0,1.0,0.5,1610612766,2,0,1,-1,2,2,0.5,0.0,0.0,-1,2,1,1,0.5,1.0,2015-16,3
21500062,1610612737,1,1,4,4,6,0,0.5,1.0,0.8,1610612751,2,0,3,-4,5,1,0.0,0.0,0.0,-1,8,1,1,0.8,1.0,2015-16,14
21500086,1610612737,1,1,4,6,8,0,0.6666666666666666,1.0,0.8571428571428571,1610612764,1,1,2,-1,6,2,0.5,0.6666666666666666,0.6,0,7,2,2,0.2571428571428571,1.0,2015-16,15
21500101,1610612737,2,0,4,7,9,0,0.75,1.0,0.875,1610612750,2,0,2,1,6,2,0.0,1.0,0.6,0,6,2,3,0.275,1.0,2015-16,-10
21500117,1610612737,2,0,3,-1,10,0,0.6,1.0,0.7777777777777778,1610612740,1,1,3,1,8,1,0.25,0.0,0.14285714285714285,1,-2,0,2,0.6349206349206349,1.0,2015-16,8
21500148,1610612737,2,0,3,-1,12,0,0.6666666666666666,0.8,0.7272727272727273,1610612762,2,0,3,-3,10,4,0.5,0.42857142857142855,0.4444444444444444,0,2,0,2,0.2828282828282829,1.0,2015-16,-1
21500169,1610612737,1,1,3,-3,14,0,0.5714285714285714,0.6666666666666666,0.6153846153846154,1610612758,3,0,2,3,12,1,0.4444444444444444,0.0,0.36363636363636365,-2,-6,1,2,0.2517482517482518,1.0,2015-16,6
21500210,1610612737,3,0,2,-1,16,0,0.625,0.5714285714285714,0.6,1610612738,2,0,3,-1,14,2,0.5,0.6,0.5384615384615384,1,0,-1,2,0.06153846153846154,1.0,2015-16,24
21500256,1610612737,2,0,4,-1,20,0,0.6666666666666666,0.5,0.5789473684210527,1610612760,3,0,2,4,18,1,0.7272727272727273,0.5,0.6470588235294118,-1,-5,2,2,-0.06811145510835914,1.0,2015-16,6
21500272,1610612737,2,0,3,1,21,0,0.7,0.5,0.6,1610612761,3,0,2,-1,19,1,0.6666666666666666,0.5833333333333334,0.6111111111111112,-1,2,1,2,-0.011111111111111183,1.0,2015-16,-10
21500286,1610612737,2,0,3,-1,22,0,0.6363636363636364,0.5,0.5714285714285714,1610612747,2,0,4,1,19,3,0.14285714285714285,0.18181818181818182,0.16666666666666666,0,-2,-1,3,0.40476190476190477,1.0,2015-16,13
21500347,1610612737,2,0,2,-1,25,0,0.6666666666666666,0.5,0.5833333333333334,1610612759,1,1,3,1,25,1,1.0,0.5833333333333334,0.7916666666666666,1,-2,-1,0,-0.20833333333333326,1.0,2015-16,-25
21500360,1610612737,2,0,3,-2,26,0,0.6153846153846154,0.5,0.56,1610612748,1,1,3,1,23,1,0.7333333333333333,0.2857142857142857,0.5909090909090909,1,-3,0,3,-0.030909090909090886,1.0,2015-16,-12
21500376,1610612737,2,0,3,-3,27,0,0.5714285714285714,0.5,0.5384615384615384,1610612755,2,0,4,-7,27,3,0.09090909090909091,0.0,0.038461538461538464,0,4,-1,0,0.5,1.0,2015-16,21
21500413,1610612737,1,1,3,3,30,0,0.6,0.5714285714285714,0.5862068965517241,1610612757,1,1,3,-3,30,4,0.5,0.29411764705882354,0.3793103448275862,0,6,0,0,0.2068965517241379,1.0,2015-16,9
21500429,1610612737,2,0,3,4,31,0,0.625,0.5714285714285714,0.6,1610612765,1,1,2,3,30,3,0.7142857142857143,0.4666666666666667,0.5862068965517241,1,1,1,1,0.01379310344827589,1.0,2015-16,7
21500442,1610612737,3,0,3,5,32,0,0.6470588235294118,0.5714285714285714,0.6129032258064516,1610612752,3,0,2,-2,31,2,0.4666666666666667,0.4666666666666667,0.4666666666666667,0,7,1,1,0.14623655913978495,1.0,2015-16,19
21500521,1610612737,2,0,1,-1,36,0,0.6666666666666666,0.5294117647058824,0.6,1610612752,2,0,2,1,36,1,0.5294117647058824,0.3888888888888889,0.45714285714285713,0,-2,-1,0,0.14285714285714285,1.0,2015-16,-6
21500551,1610612737,2,0,3,1,38,0,0.631578947368421,0.5555555555555556,0.5945945945945946,1610612741,2,0,3,6,35,1,0.7619047619047619,0.46153846153846156,0.6470588235294118,0,-5,0,3,-0.05246422893481717,1.0,2015-16,15
21500602,1610612737,1,1,2,-2,41,0,0.65,0.5,0.575,1610612751,1,1,3,-1,41,1,0.3181818181818182,0.2222222222222222,0.275,0,-1,-1,0,0.29999999999999993,1.0,2015-16,28
21500620,1610612737,2,0,3,1,42,0,0.6666666666666666,0.5,0.5853658536585366,1610612753,4,0,1,-2,40,1,0.5714285714285714,0.4444444444444444,0.5128205128205128,-2,3,2,2,0.07254534083802378,1.0,2015-16,17
21500687,1610612737,2,0,3,1,47,0,0.6818181818181818,0.5,0.5869565217391305,1610612746,1,1,4,1,46,5,0.6818181818181818,0.6086956521739131,0.6444444444444445,1,0,-1,1,-0.057487922705314,1.0,2015-16,-2
21500723,1610612737,1,1,3,-3,50,0,0.6521739130434783,0.46153846153846156,0.5510204081632653,1610612742,1,1,4,2,51,1,0.6521739130434783,0.48148148148148145,0.56,0,-5,-1,-1,-0.008979591836734802,1.0,2015-16,15
21500750,1610612737,2,0,3,2,52,0,0.6666666666666666,0.48148148148148145,0.5686274509803921,1610612754,2,0,3,1,50,2,0.6521739130434783,0.4230769230769231,0.5306122448979592,0,1,0,2,0.03801520608243292,1.0,2015-16,6
21500780,1610612737,1,1,3,-1,54,0,0.68,0.4642857142857143,0.5660377358490566,1610612753,1,1,3,1,51,1,0.5384615384615384,0.3333333333333333,0.44,0,-2,0,3,0.1260377358490566,1.0,2015-16,-7
21500808,1610612737,9,0,0,1,56,0,0.6538461538461539,0.4827586206896552,0.5636363636363636,1610612748,10,0,0,-2,54,1,0.5925925925925926,0.5,0.5471698113207547,-1,3,0,2,0.016466552315608896,1.0,2015-16,-4
21500819,1610612737,1,1,1,-1,57,0,0.6296296296296297,0.4827586206896552,0.5535714285714286,1610612749,1,1,1,-1,56,1,0.625,0.22580645161290322,0.4,0,0,0,1,0.15357142857142858,1.0,2015-16,-8
21500836,1610612737,2,0,2,-2,58,0,0.6071428571428571,0.4827586206896552,0.543859649122807,1610612744,2,0,2,1,55,4,1.0,0.8333333333333334,0.9074074074074074,0,-3,0,3,-0.3635477582846004,1.0,2015-16,-10
21500865,1610612737,4,0,2,-3,59,0,0.5862068965517241,0.4827586206896552,0.5344827586206896,1610612741,2,0,2,3,57,1,0.6551724137931034,0.4074074074074074,0.5357142857142857,2,-6,0,2,-0.0012315270935960854,1.0,2015-16,15
