hidden_dims,lr,dropout,weight_decay,batch_size,val_mae,test_mae,test_r2
"(64, 32)",0.0005,0.2,1e-05,64,9.386082649230957,9.480813026428223,0.36593008041381836
"(64, 32)",0.0005,0.2,1e-05,128,9.32265567779541,9.423325538635254,0.3771185874938965
"(64, 32)",0.0005,0.2,1e-05,256,9.3395414352417,9.42688274383545,0.37460416555404663
"(64, 32)",0.0005,0.2,0.0001,64,9.376727104187012,9.457382202148438,0.3683565855026245
"(64, 32)",0.0005,0.2,0.0001,128,9.318397521972656,9.4220552444458,0.37711864709854126
"(64, 32)",0.0005,0.2,0.0001,256,9.336331367492676,9.433086395263672,0.3737570643424988
"(64, 32)",0.0005,0.2,0.001,64,9.411383628845215,9.489317893981934,0.37579602003097534
"(64, 32)",0.0005,0.2,0.001,128,9.325297355651855,9.419371604919434,0.378040075302124
"(64, 32)",0.0005,0.2,0.001,256,9.34765911102295,9.430183410644531,0.374713659286499
"(64, 32)",0.0005,0.3,1e-05,64,9.326011657714844,9.425189018249512,0.37325549125671387
"(64, 32)",0.0005,0.3,1e-05,128,9.365496635437012,9.4188814163208,0.3787705898284912
"(64, 32)",0.0005,0.3,1e-05,256,9.354419708251953,9.422471046447754,0.3792329430580139
"(64, 32)",0.0005,0.3,0.0001,64,9.333318710327148,9.455086708068848,0.36827099323272705
"(64, 32)",0.0005,0.3,0.0001,128,9.369693756103516,9.423632621765137,0.3796340823173523
"(64, 32)",0.0005,0.3,0.0001,256,9.355010986328125,9.42737102508545,0.37942349910736084
"(64, 32)",0.0005,0.3,0.001,64,9.322484970092773,9.451543807983398,0.37040239572525024
"(64, 32)",0.0005,0.3,0.001,128,9.327544212341309,9.429986953735352,0.3774890899658203
"(64, 32)",0.0005,0.3,0.001,256,9.347406387329102,9.415962219238281,0.37931692600250244
"(64, 32)",0.0005,0.4,1e-05,64,9.34139347076416,9.434000015258789,0.37732815742492676
"(64, 32)",0.0005,0.4,1e-05,128,9.340144157409668,9.42321491241455,0.3813977837562561
"(64, 32)",0.0005,0.4,1e-05,256,9.333036422729492,9.42824649810791,0.3784249424934387
"(64, 32)",0.0005,0.4,0.0001,64,9.305012702941895,9.426226615905762,0.375440776348114
"(64, 32)",0.0005,0.4,0.0001,128,9.335891723632812,9.414958000183105,0.38137996196746826
"(64, 32)",0.0005,0.4,0.0001,256,9.372454643249512,9.478675842285156,0.37612611055374146
"(64, 32)",0.0005,0.4,0.001,64,9.332869529724121,9.429287910461426,0.3780364394187927
"(64, 32)",0.0005,0.4,0.001,128,9.33375358581543,9.40032958984375,0.38343775272369385
"(64, 32)",0.0005,0.4,0.001,256,9.339797019958496,9.423238754272461,0.37884145975112915
"(64, 32)",0.0005,0.5,1e-05,64,9.290582656860352,9.403509140014648,0.3844987750053406
"(64, 32)",0.0005,0.5,1e-05,128,9.351134300231934,9.444073677062988,0.3767099380493164
"(64, 32)",0.0005,0.5,1e-05,256,9.326106071472168,9.453263282775879,0.3756340742111206
"(64, 32)",0.0005,0.5,0.0001,64,9.297865867614746,9.40487289428711,0.3832467794418335
"(64, 32)",0.0005,0.5,0.0001,128,9.33592700958252,9.44290542602539,0.377996563911438
"(64, 32)",0.0005,0.5,0.0001,256,9.311992645263672,9.450453758239746,0.37531912326812744
"(64, 32)",0.0005,0.5,0.001,64,9.296829223632812,9.402229309082031,0.38385164737701416
"(64, 32)",0.0005,0.5,0.001,128,9.365729331970215,9.455373764038086,0.3801805377006531
"(64, 32)",0.0005,0.5,0.001,256,9.32006549835205,9.444873809814453,0.3768765330314636
"(64, 32)",0.001,0.2,1e-05,64,9.380460739135742,9.596768379211426,0.36482715606689453
"(64, 32)",0.001,0.2,1e-05,128,9.426473617553711,9.552398681640625,0.374345064163208
"(64, 32)",0.001,0.2,1e-05,256,9.393013000488281,9.482892990112305,0.37517493963241577
"(64, 32)",0.001,0.2,0.0001,64,9.414910316467285,9.612716674804688,0.3636605739593506
"(64, 32)",0.001,0.2,0.0001,128,9.426406860351562,9.548356056213379,0.37391650676727295
"(64, 32)",0.001,0.2,0.0001,256,9.407134056091309,9.488804817199707,0.374276340007782
"(64, 32)",0.001,0.2,0.001,64,9.404156684875488,9.583882331848145,0.36649417877197266
"(64, 32)",0.001,0.2,0.001,128,9.312060356140137,9.496237754821777,0.36554503440856934
"(64, 32)",0.001,0.2,0.001,256,9.3927001953125,9.484016418457031,0.37465745210647583
"(64, 32)",0.001,0.3,1e-05,64,9.31531047821045,9.434944152832031,0.3717980980873108
"(64, 32)",0.001,0.3,1e-05,128,9.435742378234863,9.525073051452637,0.37837404012680054
"(64, 32)",0.001,0.3,1e-05,256,9.335137367248535,9.488892555236816,0.36855822801589966
"(64, 32)",0.001,0.3,0.0001,64,9.381216049194336,9.4319486618042,0.38006681203842163
"(64, 32)",0.001,0.3,0.0001,128,9.373316764831543,9.49757194519043,0.3681824803352356
"(64, 32)",0.001,0.3,0.0001,256,9.341846466064453,9.488296508789062,0.3686627745628357
"(64, 32)",0.001,0.3,0.001,64,9.329330444335938,9.472028732299805,0.36623620986938477
"(64, 32)",0.001,0.3,0.001,128,9.428659439086914,9.517725944519043,0.37821322679519653
"(64, 32)",0.001,0.3,0.001,256,9.33450984954834,9.483388900756836,0.36911869049072266
"(64, 32)",0.001,0.4,1e-05,64,9.276331901550293,9.427218437194824,0.37437522411346436
"(64, 32)",0.001,0.4,1e-05,128,9.270478248596191,9.432211875915527,0.3790920376777649
"(64, 32)",0.001,0.4,1e-05,256,9.365022659301758,9.494240760803223,0.36955106258392334
"(64, 32)",0.001,0.4,0.0001,64,9.316441535949707,9.426313400268555,0.37936878204345703
"(64, 32)",0.001,0.4,0.0001,128,9.269796371459961,9.456737518310547,0.3790673613548279
"(64, 32)",0.001,0.4,0.0001,256,9.36280345916748,9.466950416564941,0.37172216176986694
"(64, 32)",0.001,0.4,0.001,64,9.34480094909668,9.417280197143555,0.37962985038757324
"(64, 32)",0.001,0.4,0.001,128,9.362056732177734,9.48686408996582,0.374936044216156
"(64, 32)",0.001,0.4,0.001,256,9.35354995727539,9.468774795532227,0.37087738513946533
"(64, 32)",0.001,0.5,1e-05,64,9.238003730773926,9.434574127197266,0.3795393705368042
"(64, 32)",0.001,0.5,1e-05,128,9.318785667419434,9.428168296813965,0.3800259232521057
"(64, 32)",0.001,0.5,1e-05,256,9.343215942382812,9.434578895568848,0.3819946050643921
"(64, 32)",0.001,0.5,0.0001,64,9.231832504272461,9.405834197998047,0.3832836151123047
"(64, 32)",0.001,0.5,0.0001,128,9.304875373840332,9.429902076721191,0.3792285919189453
"(64, 32)",0.001,0.5,0.0001,256,9.371465682983398,9.454401969909668,0.3811890482902527
"(64, 32)",0.001,0.5,0.001,64,9.211906433105469,9.400650978088379,0.38413751125335693
"(64, 32)",0.001,0.5,0.001,128,9.272497177124023,9.417353630065918,0.37938177585601807
"(64, 32)",0.001,0.5,0.001,256,9.329320907592773,9.414509773254395,0.37930381298065186
"(64, 32)",0.002,0.2,1e-05,64,9.35193157196045,9.50085163116455,0.3690240979194641
"(64, 32)",0.002,0.2,1e-05,128,9.382765769958496,9.533429145812988,0.37726181745529175
"(64, 32)",0.002,0.2,1e-05,256,9.431488990783691,9.530524253845215,0.37174367904663086
"(64, 32)",0.002,0.2,0.0001,64,9.344337463378906,9.49137020111084,0.3699682950973511
"(64, 32)",0.002,0.2,0.0001,128,9.373575210571289,9.53453254699707,0.37507033348083496
"(64, 32)",0.002,0.2,0.0001,256,9.414876937866211,9.5332670211792,0.3705817461013794
"(64, 32)",0.002,0.2,0.001,64,9.364553451538086,9.56010913848877,0.36241310834884644
"(64, 32)",0.002,0.2,0.001,128,9.369182586669922,9.520962715148926,0.37705713510513306
"(64, 32)",0.002,0.2,0.001,256,9.422441482543945,9.510283470153809,0.37100011110305786
"(64, 32)",0.002,0.3,1e-05,64,9.353110313415527,9.636184692382812,0.3581661581993103
"(64, 32)",0.002,0.3,1e-05,128,9.4252290725708,9.548652648925781,0.37678271532058716
"(64, 32)",0.002,0.3,1e-05,256,9.31873607635498,9.521759986877441,0.3592531681060791
"(64, 32)",0.002,0.3,0.0001,64,9.322813987731934,9.609976768493652,0.35877716541290283
"(64, 32)",0.002,0.3,0.0001,128,9.402764320373535,9.518589973449707,0.37717294692993164
"(64, 32)",0.002,0.3,0.0001,256,9.326788902282715,9.52365779876709,0.36030113697052
"(64, 32)",0.002,0.3,0.001,64,9.392951011657715,9.518721580505371,0.3711245656013489
"(64, 32)",0.002,0.3,0.001,128,9.441840171813965,9.514731407165527,0.3789220452308655
"(64, 32)",0.002,0.3,0.001,256,9.324320793151855,9.53467082977295,0.3556724190711975
"(64, 32)",0.002,0.4,1e-05,64,9.194984436035156,9.438194274902344,0.3717392683029175
"(64, 32)",0.002,0.4,1e-05,128,9.39974594116211,9.530763626098633,0.3741787075996399
"(64, 32)",0.002,0.4,1e-05,256,9.38064956665039,9.519974708557129,0.3595038652420044
"(64, 32)",0.002,0.4,0.0001,64,9.298371315002441,9.483907699584961,0.37344086170196533
"(64, 32)",0.002,0.4,0.0001,128,9.378360748291016,9.56787395477295,0.37257570028305054
"(64, 32)",0.002,0.4,0.0001,256,9.443119049072266,9.541845321655273,0.36967796087265015
"(64, 32)",0.002,0.4,0.001,64,9.32919979095459,9.486952781677246,0.374100923538208
"(64, 32)",0.002,0.4,0.001,128,9.350057601928711,9.542877197265625,0.37357985973358154
"(64, 32)",0.002,0.4,0.001,256,9.326287269592285,9.52328109741211,0.361339271068573
"(64, 32)",0.002,0.5,1e-05,64,9.276056289672852,9.397578239440918,0.3759480118751526
