level,config_idx,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,val_mae,val_mse,test_mae,test_mse,test_r2,trees,time,reg_alpha,reg_lambda
L1,0,4,0.01,0.7,0.7,3,10.648165702819824,186.93991088867188,10.686519622802734,187.55267333984375,0.25133174657821655,366,0.1504042148590088,,
L1,1,4,0.03,0.8,0.8,1,10.669666290283203,187.7412872314453,10.70181941986084,188.62730407714844,0.24704205989837646,99,0.056258440017700195,,
L1,2,6,0.01,0.7,0.7,3,10.699037551879883,188.57070922851562,10.766375541687012,189.45042419433594,0.24375641345977783,295,0.20438575744628906,,
L1,3,6,0.03,0.8,0.8,1,10.685737609863281,188.1002197265625,10.779211044311523,191.00869750976562,0.23753613233566284,97,0.08650040626525879,,
L1,4,8,0.01,0.7,0.6,5,10.7268648147583,189.6494140625,10.804569244384766,190.40431213378906,0.23994868993759155,307,0.4726107120513916,,
L1,5,3,0.05,0.9,0.9,1,10.649993896484375,187.21292114257812,10.682013511657715,187.62371826171875,0.25104814767837524,56,0.031147241592407227,,
L1,6,4,0.05,0.8,0.8,3,10.671820640563965,187.53033447265625,10.720224380493164,188.52151489257812,0.2474643588066101,82,2.68133544921875,0.1,5.0
L1,7,6,0.03,0.7,0.7,5,10.732056617736816,190.10601806640625,10.801568031311035,190.44540405273438,0.23978465795516968,97,0.08475685119628906,0.5,10.0
L2,0,4,0.01,0.7,0.7,3,11.414657592773438,210.84373474121094,11.433904647827148,211.53256225585938,0.15560942888259888,357,0.22948551177978516,,
L2,1,4,0.03,0.8,0.8,1,11.443354606628418,212.23046875,11.421944618225098,211.43031311035156,0.15601766109466553,113,0.08311605453491211,,
L2,2,6,0.01,0.7,0.7,3,11.428489685058594,211.5508270263672,11.469117164611816,212.24510192871094,0.152765154838562,356,2.2074031829833984,,
L2,3,6,0.03,0.8,0.8,1,11.447124481201172,212.98696899414062,11.43282699584961,212.2691650390625,0.15266907215118408,105,0.125962495803833,,
L2,4,8,0.01,0.7,0.6,5,11.487841606140137,213.87564086914062,11.494603157043457,212.92385864257812,0.15005576610565186,296,0.5844254493713379,,
L2,5,3,0.05,0.9,0.9,1,11.414359092712402,210.4038543701172,11.43367862701416,212.07464599609375,0.15344560146331787,81,0.052535057067871094,,
L2,6,4,0.05,0.8,0.8,3,11.386566162109375,210.53968811035156,11.532899856567383,214.9131622314453,0.14211487770080566,167,0.6929469108581543,0.1,5.0
L2,7,6,0.03,0.7,0.7,5,11.463921546936035,212.49156188964844,11.510015487670898,213.44483947753906,0.1479761004447937,111,0.12166595458984375,0.5,10.0
L3_agg,0,4,0.01,0.7,0.7,3,11.674225807189941,219.15475463867188,11.749646186828613,225.4238739013672,0.1001584529876709,732,0.3995511531829834,,
L3_agg,1,4,0.03,0.8,0.8,1,11.735146522521973,221.50587463378906,11.772934913635254,226.2915802001953,0.09669476747512817,168,0.11393547058105469,,
L3_agg,2,6,0.01,0.7,0.7,3,11.733807563781738,221.38751220703125,11.796913146972656,226.16015625,0.09721940755844116,375,0.5046029090881348,,
L3_agg,3,6,0.03,0.8,0.8,1,11.73630428314209,222.56478881835938,11.802350997924805,226.846435546875,0.09447991847991943,168,0.20505452156066895,,
L3_agg,4,8,0.01,0.7,0.6,5,11.739473342895508,221.79759216308594,11.793755531311035,226.39273071289062,0.09629100561141968,487,1.1843273639678955,,
L3_agg,5,3,0.05,0.9,0.9,1,11.711152076721191,220.5721893310547,11.745248794555664,225.39857482910156,0.10025948286056519,198,0.6352829933166504,,
L3_agg,6,4,0.05,0.8,0.8,3,11.699321746826172,220.50140380859375,11.7416410446167,225.1209716796875,0.10136759281158447,162,0.1133122444152832,0.1,5.0
L3_agg,7,6,0.03,0.7,0.7,5,11.716485023498535,221.98728942871094,11.79262638092041,226.09658813476562,0.09747314453125,210,0.2364501953125,0.5,10.0
