feat_set,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,val_mae,test_mae,test_mse,test_r2,trees,reg_alpha,reg_lambda
L1+L5_base,3,0.005,0.6,0.6,1,10.561120986938477,10.575071334838867,184.740478515625,0.2625574469566345,842,,
L1+L5_base,3,0.005,0.6,0.6,3,10.5508451461792,10.565205574035645,184.52072143554688,0.2634347081184387,1134,,
L1+L5_base,3,0.005,0.6,0.6,5,10.550609588623047,10.566734313964844,184.58290100097656,0.2631864547729492,1129,,
L1+L5_base,3,0.005,0.6,0.6,10,10.550982475280762,10.563791275024414,184.4779815673828,0.2636052370071411,1141,,
L1+L5_base,3,0.005,0.6,0.7,1,10.565775871276855,10.57249641418457,184.7990264892578,0.2623237371444702,845,,
L1+L5_base,3,0.005,0.6,0.7,3,10.564550399780273,10.571186065673828,184.75177001953125,0.2625123858451843,835,,
L1+L5_base,3,0.005,0.6,0.7,5,10.552397727966309,10.563810348510742,184.66635131835938,0.26285332441329956,1128,,
L1+L5_base,3,0.005,0.6,0.7,10,10.559921264648438,10.557438850402832,184.4709014892578,0.26363348960876465,1136,,
L1+L5_base,3,0.005,0.6,0.8,1,10.572968482971191,10.576889991760254,185.0036163330078,0.2615070343017578,715,,
L1+L5_base,3,0.005,0.6,0.8,3,10.573987007141113,10.578346252441406,185.02935791015625,0.26140427589416504,715,,
L1+L5_base,3,0.005,0.6,0.8,5,10.572206497192383,10.578752517700195,185.02073669433594,0.2614387273788452,717,,
L1+L5_base,3,0.005,0.6,0.8,10,10.57349967956543,10.576908111572266,184.90870666503906,0.2618858814239502,720,,
L1+L5_base,3,0.005,0.7,0.6,1,10.564594268798828,10.573127746582031,184.889892578125,0.26196104288101196,927,,
L1+L5_base,3,0.005,0.7,0.6,3,10.5635404586792,10.5751371383667,184.91343688964844,0.2618669867515564,928,,
L1+L5_base,3,0.005,0.7,0.6,5,10.562885284423828,10.578497886657715,184.98606872558594,0.2615770697593689,928,,
L1+L5_base,3,0.005,0.7,0.6,10,10.564939498901367,10.574174880981445,184.8678741455078,0.2620489001274109,928,,
L1+L5_base,3,0.005,0.7,0.7,1,10.5619535446167,10.571717262268066,184.8758087158203,0.2620171904563904,922,,
L1+L5_base,3,0.005,0.7,0.7,3,10.565519332885742,10.571709632873535,184.8358154296875,0.26217687129974365,928,,
L1+L5_base,3,0.005,0.7,0.7,5,10.558371543884277,10.566715240478516,184.73635864257812,0.26257389783859253,1142,,
L1+L5_base,3,0.005,0.7,0.7,10,10.568115234375,10.569969177246094,184.6859893798828,0.2627749443054199,854,,
L1+L5_base,3,0.005,0.7,0.8,1,10.555328369140625,10.568641662597656,184.7352752685547,0.26257818937301636,1290,,
L1+L5_base,3,0.005,0.7,0.8,3,10.558899879455566,10.565032005310059,184.6794891357422,0.2628008723258972,1139,,
L1+L5_base,3,0.005,0.7,0.8,5,10.553717613220215,10.570027351379395,184.7602996826172,0.2624782919883728,1322,,
L1+L5_base,3,0.005,0.7,0.8,10,10.561444282531738,10.57451343536377,184.80694580078125,0.26229214668273926,1142,,
L1+L5_base,3,0.005,0.8,0.6,1,10.563739776611328,10.583063125610352,185.16940307617188,0.2608453035354614,858,,
L1+L5_base,3,0.005,0.8,0.6,3,10.562825202941895,10.580795288085938,185.11585998535156,0.2610589861869812,858,,
L1+L5_base,3,0.005,0.8,0.6,5,10.56472110748291,10.580239295959473,185.072021484375,0.2612340450286865,856,,
L1+L5_base,3,0.005,0.8,0.6,10,10.567615509033203,10.58039665222168,185.08656311035156,0.2611759901046753,858,,
L1+L5_base,3,0.005,0.8,0.7,1,10.566723823547363,10.582568168640137,185.1873016357422,0.26077377796173096,856,,
L1+L5_base,3,0.005,0.8,0.7,3,10.565285682678223,10.582582473754883,185.16334533691406,0.26086944341659546,856,,
L1+L5_base,3,0.005,0.8,0.7,5,10.565740585327148,10.581435203552246,185.14353942871094,0.2609485387802124,856,,
L1+L5_base,3,0.005,0.8,0.7,10,10.56380558013916,10.57886028289795,185.14732360839844,0.26093339920043945,858,,
L1+L5_base,3,0.005,0.8,0.8,1,10.577035903930664,10.581629753112793,185.19192504882812,0.26075536012649536,856,,
L1+L5_base,3,0.005,0.8,0.8,3,10.581764221191406,10.588000297546387,185.33799743652344,0.2601723074913025,770,,
L1+L5_base,3,0.005,0.8,0.8,5,10.576050758361816,10.578452110290527,185.0719757080078,0.2612341642379761,856,,
L1+L5_base,3,0.005,0.8,0.8,10,10.576682090759277,10.57917594909668,185.1098175048828,0.26108312606811523,858,,
L1+L5_base,3,0.01,0.6,0.6,1,10.56325912475586,10.57927417755127,184.9503936767578,0.2617195248603821,479,,
L1+L5_base,3,0.01,0.6,0.6,3,10.560552597045898,10.578411102294922,184.98428344726562,0.26158422231674194,480,,
L1+L5_base,3,0.01,0.6,0.6,5,10.56333065032959,10.576346397399902,184.9200439453125,0.26184070110321045,480,,
L1+L5_base,3,0.01,0.6,0.6,10,10.562042236328125,10.579540252685547,184.91827392578125,0.26184773445129395,507,,
L1+L5_base,3,0.01,0.6,0.7,1,10.556822776794434,10.569896697998047,184.78465270996094,0.26238107681274414,483,,
L1+L5_base,3,0.01,0.6,0.7,3,10.557971000671387,10.564319610595703,184.67950439453125,0.2628008723258972,483,,
L1+L5_base,3,0.01,0.6,0.7,5,10.56230640411377,10.563080787658691,184.58604431152344,0.2631738781929016,505,,
