feat_set,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,val_mae,test_mae,test_mse,test_r2,trees,reg_alpha,reg_lambda
L1+L5_enhanced,3,0.005,0.6,0.6,1,10.56993579864502,10.566776275634766,184.5068359375,0.26349008083343506,784,,
L1+L5_enhanced,3,0.005,0.6,0.6,3,10.570158958435059,10.567826271057129,184.53485107421875,0.2633782625198364,784,,
L1+L5_enhanced,3,0.005,0.6,0.6,5,10.568846702575684,10.566675186157227,184.53237915039062,0.26338809728622437,784,,
L1+L5_enhanced,3,0.005,0.6,0.6,10,10.569436073303223,10.565677642822266,184.52467346191406,0.26341891288757324,786,,
L1+L5_enhanced,3,0.005,0.6,0.7,1,10.569794654846191,10.565266609191895,184.6402587890625,0.26295751333236694,785,,
L1+L5_enhanced,3,0.005,0.6,0.7,3,10.570433616638184,10.566624641418457,184.65548706054688,0.26289671659469604,784,,
L1+L5_enhanced,3,0.005,0.6,0.7,5,10.569804191589355,10.565910339355469,184.62811279296875,0.26300597190856934,786,,
L1+L5_enhanced,3,0.005,0.6,0.7,10,10.56943416595459,10.566277503967285,184.62753295898438,0.2630082964897156,786,,
L1+L5_enhanced,3,0.005,0.6,0.8,1,10.572744369506836,10.565492630004883,184.58071899414062,0.2631951570510864,767,,
L1+L5_enhanced,3,0.005,0.6,0.8,3,10.572548866271973,10.56651496887207,184.5498504638672,0.26331841945648193,767,,
L1+L5_enhanced,3,0.005,0.6,0.8,5,10.573894500732422,10.564687728881836,184.542724609375,0.263346791267395,767,,
L1+L5_enhanced,3,0.005,0.6,0.8,10,10.574116706848145,10.564992904663086,184.5535430908203,0.26330363750457764,798,,
L1+L5_enhanced,3,0.005,0.7,0.6,1,10.569106101989746,10.567169189453125,184.75587463378906,0.2624959349632263,978,,
L1+L5_enhanced,3,0.005,0.7,0.6,3,10.563494682312012,10.565912246704102,184.72003173828125,0.26263904571533203,1175,,
L1+L5_enhanced,3,0.005,0.7,0.6,5,10.56766414642334,10.56833267211914,184.76910400390625,0.2624431848526001,972,,
L1+L5_enhanced,3,0.005,0.7,0.6,10,10.56737232208252,10.566265106201172,184.71499633789062,0.26265913248062134,988,,
L1+L5_enhanced,3,0.005,0.7,0.7,1,10.568669319152832,10.558828353881836,184.3975830078125,0.2639262080192566,978,,
